gamma,bathFrequency_Hz,bathAmplitude_cm,CoM_max_cm,CoM_rms_cm,elapsed_s,status
0.0500,10,1.242451e-02,3.1050e-02,2.9203e-02,1411.0,ok
0.2000,10,4.969804e-02,3.6314e-02,2.9320e-02,1406.7,ok
0.5000,10,1.242451e-01,4.6880e-02,3.0749e-02,1413.6,ok
0.0500,20,3.106128e-03,3.0937e-02,2.9170e-02,1415.0,ok
0.2000,20,1.242451e-02,3.4020e-02,2.9105e-02,1275.1,ok
0.5000,20,3.106128e-02,4.0210e-02,2.9412e-02,1397.2,ok
0.0500,30,1.380501e-03,3.0762e-02,2.9183e-02,1422.2,ok
0.2000,30,5.522005e-03,3.2514e-02,2.9114e-02,1484.3,ok
0.5000,30,1.380501e-02,3.6019e-02,2.9138e-02,1440.6,ok
0.0500,40,7.765319e-04,3.0382e-02,2.9123e-02,1465.4,ok
0.2000,40,3.106128e-03,3.1510e-02,2.9067e-02,1431.6,ok
0.5000,40,7.765319e-03,3.3807e-02,2.9022e-02,1468.6,ok
0.0500,50,4.969804e-04,3.0429e-02,2.8974e-02,1424.0,ok
0.2000,50,1.987922e-03,3.1199e-02,2.8928e-02,1480.1,ok
0.5000,50,4.969804e-03,3.2740e-02,2.8868e-02,1267.3,ok
0.0500,60,3.451253e-04,3.0357e-02,2.8767e-02,1326.3,ok
0.2000,60,1.380501e-03,3.0897e-02,2.8729e-02,1432.9,ok
0.5000,60,3.451253e-03,3.1977e-02,2.8669e-02,1492.9,ok
0.0500,70,2.535614e-04,3.0195e-02,2.8534e-02,1279.3,ok
0.2000,70,1.014246e-03,3.0571e-02,2.8502e-02,1522.4,ok
0.5000,70,2.535614e-03,3.1357e-02,2.8448e-02,1520.5,ok
0.0500,80,1.941330e-04,3.0042e-02,2.8298e-02,1515.4,ok
0.2000,80,7.765319e-04,3.0234e-02,2.8271e-02,1523.5,ok
0.5000,80,1.941330e-03,3.0817e-02,2.8224e-02,1491.1,ok
0.0500,90,1.533890e-04,2.9919e-02,2.8072e-02,1137.7,ok
0.2000,90,6.135561e-04,2.9900e-02,2.8050e-02,1464.7,ok
0.5000,90,1.533890e-03,3.0337e-02,2.8010e-02,1458.7,ok
0.0500,100,1.242451e-04,2.9743e-02,2.7863e-02,1433.6,ok
0.2000,100,4.969804e-04,2.9580e-02,2.7845e-02,1374.0,ok
0.5000,100,1.242451e-03,2.9908e-02,2.7811e-02,1451.0,ok
