gamma,bathFrequency_Hz,bathAmplitude_cm,CoM_max_cm,CoM_rms_cm,elapsed_s,status
0.0500,10,1.242451e-02,3.1110e-02,2.9298e-02,219.3,ok
0.2000,10,4.969804e-02,3.6320e-02,2.9612e-02,268.5,ok
0.5000,10,1.242451e-01,4.6880e-02,3.1515e-02,263.4,ok
0.0500,20,3.106128e-03,3.0937e-02,2.9276e-02,214.7,ok
0.2000,20,1.242451e-02,3.4020e-02,2.9351e-02,190.3,ok
0.5000,20,3.106128e-02,4.0210e-02,2.9967e-02,214.7,ok
0.0500,30,1.380501e-03,3.0762e-02,2.9274e-02,219.9,ok
0.2000,30,5.522005e-03,3.2514e-02,2.9282e-02,111.8,ok
0.5000,30,1.380501e-02,3.6019e-02,2.9475e-02,215.0,ok
0.0500,40,7.765319e-04,3.0382e-02,2.9269e-02,186.3,ok
0.2000,40,3.106128e-03,3.1510e-02,2.9257e-02,212.9,ok
0.5000,40,7.765319e-03,3.3807e-02,2.9323e-02,237.4,ok
0.0500,50,4.969804e-04,3.0429e-02,2.9265e-02,228.7,ok
0.2000,50,1.987922e-03,3.1199e-02,2.9260e-02,214.4,ok
0.5000,50,4.969804e-03,3.2740e-02,2.9266e-02,248.4,ok
0.0500,60,3.451253e-04,3.0357e-02,2.9261e-02,152.8,ok
0.2000,60,1.380501e-03,3.0897e-02,2.9255e-02,211.7,ok
0.5000,60,3.451253e-03,3.1977e-02,2.9260e-02,205.2,ok
0.0500,70,2.535614e-04,3.0306e-02,2.9257e-02,272.4,ok
0.2000,70,1.014246e-03,3.0726e-02,2.9250e-02,202.7,ok
0.5000,70,2.535614e-03,3.1571e-02,2.9233e-02,205.6,ok
0.0500,80,1.941330e-04,3.0307e-02,2.9256e-02,264.0,ok
0.2000,80,7.765319e-04,3.0631e-02,2.9247e-02,254.7,ok
0.5000,80,1.941330e-03,3.1278e-02,2.9226e-02,209.5,ok
0.0500,90,1.533890e-04,3.0250e-02,2.9253e-02,194.8,ok
0.2000,90,6.135561e-04,3.0513e-02,2.9247e-02,262.3,ok
0.5000,90,1.533890e-03,3.1043e-02,2.9239e-02,252.1,ok
0.0500,100,1.242451e-04,3.0273e-02,2.9250e-02,239.1,ok
0.2000,100,4.969804e-04,3.0487e-02,2.9245e-02,277.3,ok
0.5000,100,1.242451e-03,3.0917e-02,2.9225e-02,227.6,ok
