time_s,CoM_cm,eta_boundary_cm
0.000000e+00,0.000000e+00,0.000000e+00
1.851852e-04,-3.120377e-05,7.839563e-11
3.703704e-04,-8.140334e-05,2.164403e-10
5.555556e-04,-1.494804e-04,4.170540e-10
7.407407e-04,-2.344066e-04,6.828058e-10
9.259259e-04,-3.352302e-04,1.015982e-09
1.111111e-03,-4.510647e-04,1.418646e-09
1.296296e-03,-5.810807e-04,1.892683e-09
1.481481e-03,-7.245001e-04,2.439834e-09
1.666667e-03,-8.805914e-04,3.061724e-09
1.851852e-03,-1.048666e-03,3.759877e-09
2.037037e-03,-1.228077e-03,4.535740e-09
2.222222e-03,-1.418214e-03,5.390692e-09
2.407407e-03,-1.618502e-03,6.326056e-09
2.592593e-03,-1.828402e-03,7.343109e-09
2.777778e-03,-2.047405e-03,8.443088e-09
2.962963e-03,-2.275034e-03,9.627199e-09
3.148148e-03,-2.510840e-03,1.089662e-08
3.333333e-03,-2.754399e-03,1.225250e-08
3.518519e-03,-3.005316e-03,1.369599e-08
3.703704e-03,-3.263216e-03,1.522820e-08
3.888889e-03,-3.527750e-03,1.685027e-08
4.074074e-03,-3.798586e-03,1.856333e-08
4.259259e-03,-4.075412e-03,2.036852e-08
4.444444e-03,-4.357933e-03,2.226701e-08
4.629630e-03,-4.645870e-03,2.426002e-08
4.814815e-03,-4.938956e-03,2.634879e-08
5.000000e-03,-5.236939e-03,2.853462e-08
5.185185e-03,-5.539576e-03,3.081888e-08
5.370370e-03,-5.846632e-03,3.320298e-08
5.555556e-03,-6.157883e-03,3.568838e-08
5.740741e-03,-6.473108e-03,3.827660e-08
5.925926e-03,-6.792093e-03,4.096919e-08
6.111111e-03,-7.114628e-03,4.376774e-08
6.296296e-03,-7.440504e-03,4.667385e-08
6.481481e-03,-7.769516e-03,4.968910e-08
6.666667e-03,-8.101457e-03,5.281509e-08
6.851852e-03,-8.436124e-03,5.605335e-08
7.037037e-03,-8.773308e-03,5.940539e-08
7.222222e-03,-9.112803e-03,6.287263e-08
7.407407e-03,-9.454399e-03,6.645644e-08
7.592593e-03,-9.797885e-03,7.015806e-08
7.777778e-03,-1.014305e-02,7.397866e-08
7.962963e-03,-1.048967e-02,7.791929e-08
8.148148e-03,-1.083753e-02,8.198086e-08
8.333333e-03,-1.118642e-02,8.616417e-08
8.518519e-03,-1.153610e-02,9.046989e-08
8.703704e-03,-1.188636e-02,9.489856e-08
8.888889e-03,-1.223697e-02,9.945058e-08
9.074074e-03,-1.258770e-02,1.041262e-07
9.259259e-03,-1.293833e-02,1.089256e-07
9.444444e-03,-1.328863e-02,1.138487e-07
9.629630e-03,-1.363838e-02,1.188956e-07
9.814815e-03,-1.398736e-02,1.240658e-07
1.000000e-02,-1.433536e-02,1.293591e-07
1.018519e-02,-1.468215e-02,1.347750e-07
1.037037e-02,-1.502753e-02,1.403130e-07
1.055556e-02,-1.537130e-02,1.459725e-07
1.074074e-02,-1.571326e-02,1.517527e-07
1.092593e-02,-1.605322e-02,1.576528e-07
1.111111e-02,-1.639101e-02,1.636720e-07
1.129630e-02,-1.672646e-02,1.698093e-07
1.148148e-02,-1.705939e-02,1.760637e-07
1.166667e-02,-1.738967e-02,1.824343e-07
1.185185e-02,-1.771716e-02,1.889199e-07
1.203704e-02,-1.804172e-02,1.955194e-07
1.222222e-02,-1.836325e-02,2.022318e-07
1.240741e-02,-1.868164e-02,2.090559e-07
1.259259e-02,-1.899681e-02,2.159906e-07
1.277778e-02,-1.930867e-02,2.230346e-07
1.296296e-02,-1.961716e-02,2.301870e-07
1.314815e-02,-1.992224e-02,2.374464e-07
1.333333e-02,-2.022386e-02,2.448117e-07
1.351852e-02,-2.052200e-02,2.522819e-07
1.370370e-02,-2.081665e-02,2.598558e-07
1.388889e-02,-2.110781e-02,2.675322e-07
1.407407e-02,-2.139548e-02,2.753103e-07
1.425926e-02,-2.167969e-02,2.831887e-07
1.444444e-02,-2.196046e-02,2.911667e-07
1.462963e-02,-2.223783e-02,2.992430e-07
1.481481e-02,-2.251185e-02,3.074168e-07
1.500000e-02,-2.278257e-02,3.156871e-07
1.518519e-02,-2.305005e-02,3.240529e-07
1.537037e-02,-2.331436e-02,3.325133e-07
1.555556e-02,-2.357556e-02,3.410674e-07
1.574074e-02,-2.383372e-02,3.497143e-07
1.592593e-02,-2.408892e-02,3.584532e-07
1.611111e-02,-2.434124e-02,3.672832e-07
1.629630e-02,-2.459073e-02,3.762035e-07
1.648148e-02,-2.483748e-02,3.852131e-07
1.666667e-02,-2.508156e-02,3.943114e-07
1.685185e-02,-2.532302e-02,4.034975e-07
1.703704e-02,-2.556194e-02,4.127705e-07
1.722222e-02,-2.579837e-02,4.221297e-07
1.740741e-02,-2.603236e-02,4.315743e-07
1.759259e-02,-2.626396e-02,4.411033e-07
1.777778e-02,-2.649320e-02,4.507161e-07
1.796296e-02,-2.672012e-02,4.604116e-07
1.814815e-02,-2.694474e-02,4.701892e-07
1.833333e-02,-2.716707e-02,4.800479e-07
1.851852e-02,-2.738712e-02,4.899869e-07
1.870370e-02,-2.760489e-02,5.000053e-07
1.888889e-02,-2.782037e-02,5.101021e-07
1.907407e-02,-2.803354e-02,5.202765e-07
1.925926e-02,-2.824438e-02,5.305275e-07
1.944444e-02,-2.845285e-02,5.408543e-07
1.962963e-02,-2.865891e-02,5.512557e-07
1.981481e-02,-2.886252e-02,5.617309e-07
2.000000e-02,-2.906362e-02,5.722789e-07
2.018519e-02,-2.926215e-02,5.828987e-07
2.037037e-02,-2.945806e-02,5.935892e-07
2.055556e-02,-2.965127e-02,6.043495e-07
2.074074e-02,-2.984172e-02,6.151785e-07
2.092593e-02,-3.002934e-02,6.260752e-07
2.111111e-02,-3.021406e-02,6.370385e-07
2.129630e-02,-3.039580e-02,6.480676e-07
2.148148e-02,-3.057449e-02,6.591612e-07
2.166667e-02,-3.075006e-02,6.703184e-07
2.185185e-02,-3.092246e-02,6.815381e-07
2.203704e-02,-3.109161e-02,6.928195e-07
2.222222e-02,-3.125746e-02,7.041613e-07
2.240741e-02,-3.141996e-02,7.155627e-07
2.259259e-02,-3.157905e-02,7.270228e-07
2.277778e-02,-3.173471e-02,7.385404e-07
2.296296e-02,-3.188690e-02,7.501147e-07
2.314815e-02,-3.203560e-02,7.617448e-07
2.333333e-02,-3.218079e-02,7.734298e-07
2.351852e-02,-3.232247e-02,7.851688e-07
2.370370e-02,-3.246063e-02,7.969609e-07
2.388889e-02,-3.259531e-02,8.088054e-07
2.407407e-02,-3.272650e-02,8.207014e-07
2.425926e-02,-3.285426e-02,8.326481e-07
2.444444e-02,-3.297862e-02,8.446449e-07
2.462963e-02,-3.309962e-02,8.566910e-07
2.481481e-02,-3.321734e-02,8.687858e-07
2.500000e-02,-3.333184e-02,8.809284e-07
2.518519e-02,-3.344320e-02,8.931185e-07
2.537037e-02,-3.355149e-02,9.053552e-07
2.555556e-02,-3.365682e-02,9.176381e-07
2.574074e-02,-3.375928e-02,9.299666e-07
2.592593e-02,-3.385896e-02,9.423401e-07
2.611111e-02,-3.395598e-02,9.547581e-07
2.629630e-02,-3.405045e-02,9.672202e-07
2.648148e-02,-3.414248e-02,9.797258e-07
2.666667e-02,-3.423219e-02,9.922745e-07
2.685185e-02,-3.431968e-02,1.004866e-06
2.703704e-02,-3.440508e-02,1.017500e-06
2.722222e-02,-3.448849e-02,1.030175e-06
2.740741e-02,-3.457004e-02,1.042892e-06
2.759259e-02,-3.464982e-02,1.055650e-06
2.777778e-02,-3.472794e-02,1.068448e-06
2.796296e-02,-3.480450e-02,1.081287e-06
2.814815e-02,-3.487959e-02,1.094165e-06
2.833333e-02,-3.495331e-02,1.107083e-06
2.851852e-02,-3.502571e-02,1.120040e-06
2.870370e-02,-3.509689e-02,1.133036e-06
2.888889e-02,-3.516690e-02,1.146070e-06
2.907407e-02,-3.523580e-02,1.159142e-06
2.925926e-02,-3.530363e-02,1.172251e-06
2.944444e-02,-3.537042e-02,1.185398e-06
2.962963e-02,-3.543621e-02,1.198582e-06
2.981481e-02,-3.550100e-02,1.211802e-06
3.000000e-02,-3.556482e-02,1.225058e-06
3.018519e-02,-3.562765e-02,1.238350e-06
3.037037e-02,-3.568948e-02,1.251677e-06
3.055556e-02,-3.575030e-02,1.265039e-06
3.074074e-02,-3.581007e-02,1.278435e-06
3.092593e-02,-3.586877e-02,1.291866e-06
3.111111e-02,-3.592635e-02,1.305330e-06
3.129630e-02,-3.598276e-02,1.318827e-06
3.148148e-02,-3.603795e-02,1.332358e-06
3.166667e-02,-3.609186e-02,1.345921e-06
3.185185e-02,-3.614443e-02,1.359516e-06
3.203704e-02,-3.619559e-02,1.373143e-06
