time_s,CoM_cm,eta_boundary_cm
0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-04,-1.893167e-04,5.292381e-10
6.666667e-04,-4.227816e-04,1.295491e-09
1.000000e-03,-6.960400e-04,2.301459e-09
1.333333e-03,-1.004683e-03,3.551056e-09
1.666667e-03,-1.344556e-03,5.047966e-09
2.000000e-03,-1.711825e-03,6.795391e-09
2.333333e-03,-2.102984e-03,8.796055e-09
2.666667e-03,-2.514858e-03,1.105230e-08
3.000000e-03,-2.944582e-03,1.356621e-08
3.333333e-03,-3.389599e-03,1.633978e-08
3.666667e-03,-3.847636e-03,1.937508e-08
4.000000e-03,-4.316697e-03,2.267448e-08
4.333333e-03,-4.795045e-03,2.624085e-08
4.666667e-03,-5.281187e-03,3.007769e-08
5.000000e-03,-5.773857e-03,3.418924e-08
5.333333e-03,-6.272000e-03,3.858051e-08
5.666667e-03,-6.774757e-03,4.325724e-08
6.000000e-03,-7.281446e-03,4.822574e-08
6.333333e-03,-7.791543e-03,5.349280e-08
6.666667e-03,-8.304668e-03,5.906544e-08
7.000000e-03,-8.820564e-03,6.495078e-08
7.333333e-03,-9.339083e-03,7.115585e-08
7.666667e-03,-9.860163e-03,7.768743e-08
8.000000e-03,-1.038382e-02,8.455198e-08
8.333333e-03,-1.091011e-02,9.175554e-08
8.666667e-03,-1.143914e-02,9.930368e-08
9.000000e-03,-1.197104e-02,1.072015e-07
9.333333e-03,-1.250594e-02,1.154536e-07
9.666667e-03,-1.304398e-02,1.240640e-07
1.000000e-02,-1.358525e-02,1.330363e-07
1.033333e-02,-1.412983e-02,1.423738e-07
1.066667e-02,-1.467776e-02,1.520791e-07
1.100000e-02,-1.522902e-02,1.621545e-07
1.133333e-02,-1.578352e-02,1.726019e-07
1.166667e-02,-1.634113e-02,1.834226e-07
1.200000e-02,-1.690161e-02,1.946178e-07
1.233333e-02,-1.746467e-02,2.061880e-07
1.266667e-02,-1.802994e-02,2.181335e-07
1.300000e-02,-1.859695e-02,2.304540e-07
1.333333e-02,-1.916517e-02,2.431490e-07
1.366667e-02,-1.973399e-02,2.562174e-07
1.400000e-02,-2.030271e-02,2.696577e-07
1.433333e-02,-2.087057e-02,2.834679e-07
1.466667e-02,-2.143674e-02,2.976456e-07
1.500000e-02,-2.200035e-02,3.121878e-07
1.533333e-02,-2.256045e-02,3.270913e-07
1.566667e-02,-2.311606e-02,3.423521e-07
1.600000e-02,-2.366617e-02,3.579658e-07
1.633333e-02,-2.420975e-02,3.739276e-07
1.666667e-02,-2.474575e-02,3.902322e-07
1.700000e-02,-2.527312e-02,4.068736e-07
1.733333e-02,-2.579082e-02,4.238458e-07
1.766667e-02,-2.629781e-02,4.411418e-07
1.800000e-02,-2.679311e-02,4.587547e-07
1.833333e-02,-2.727577e-02,4.766767e-07
1.866667e-02,-2.774487e-02,4.949000e-07
1.900000e-02,-2.819957e-02,5.134164e-07
1.933333e-02,-2.863909e-02,5.322171e-07
1.966667e-02,-2.906274e-02,5.512934e-07
2.000000e-02,-2.946990e-02,5.706362e-07
2.033333e-02,-2.986004e-02,5.902362e-07
2.066667e-02,-3.023274e-02,6.100840e-07
2.100000e-02,-3.058765e-02,6.301701e-07
2.133333e-02,-3.092457e-02,6.504848e-07
2.166667e-02,-3.124337e-02,6.710185e-07
2.200000e-02,-3.154405e-02,6.917618e-07
2.233333e-02,-3.182670e-02,7.127050e-07
2.266667e-02,-3.209153e-02,7.338388e-07
2.300000e-02,-3.233886e-02,7.551539e-07
2.333333e-02,-3.256911e-02,7.766413e-07
2.366667e-02,-3.278279e-02,7.982921e-07
2.400000e-02,-3.298051e-02,8.200978e-07
2.433333e-02,-3.316298e-02,8.420501e-07
2.466667e-02,-3.333098e-02,8.641410e-07
2.500000e-02,-3.348537e-02,8.863630e-07
2.533333e-02,-3.362706e-02,9.087087e-07
2.566667e-02,-3.375704e-02,9.311713e-07
2.600000e-02,-3.387634e-02,9.537445e-07
2.633333e-02,-3.398602e-02,9.764221e-07
2.666667e-02,-3.408717e-02,9.991987e-07
2.700000e-02,-3.418090e-02,1.022069e-06
2.733333e-02,-3.426832e-02,1.045029e-06
2.766667e-02,-3.435054e-02,1.068073e-06
2.800000e-02,-3.442864e-02,1.091199e-06
2.833333e-02,-3.450370e-02,1.114404e-06
2.866667e-02,-3.457673e-02,1.137684e-06
2.900000e-02,-3.464870e-02,1.161037e-06
2.933333e-02,-3.472054e-02,1.184462e-06
2.966667e-02,-3.479310e-02,1.207958e-06
3.000000e-02,-3.486715e-02,1.231523e-06
3.033333e-02,-3.494337e-02,1.255159e-06
3.066667e-02,-3.502237e-02,1.278864e-06
3.100000e-02,-3.510466e-02,1.302640e-06
3.133333e-02,-3.519064e-02,1.326489e-06
3.166667e-02,-3.528061e-02,1.350411e-06
3.200000e-02,-3.537476e-02,1.374408e-06
3.233333e-02,-3.547319e-02,1.398484e-06
3.266667e-02,-3.557587e-02,1.422641e-06
3.300000e-02,-3.568269e-02,1.446881e-06
3.333333e-02,-3.579340e-02,1.471209e-06
3.366667e-02,-3.590768e-02,1.495627e-06
3.400000e-02,-3.602512e-02,1.520140e-06
3.433333e-02,-3.614519e-02,1.544750e-06
3.466667e-02,-3.626730e-02,1.569462e-06
3.500000e-02,-3.639078e-02,1.594280e-06
3.533333e-02,-3.651489e-02,1.619208e-06
3.566667e-02,-3.663884e-02,1.644248e-06
3.600000e-02,-3.676180e-02,1.669405e-06
3.633333e-02,-3.688288e-02,1.694681e-06
3.666667e-02,-3.700118e-02,1.720081e-06
3.700000e-02,-3.711579e-02,1.745606e-06
3.733333e-02,-3.722579e-02,1.771258e-06
3.766667e-02,-3.733026e-02,1.797041e-06
3.800000e-02,-3.742832e-02,1.822954e-06
3.833333e-02,-3.751910e-02,1.849000e-06
3.866667e-02,-3.760177e-02,1.875178e-06
3.900000e-02,-3.767557e-02,1.901489e-06
3.933333e-02,-3.773977e-02,1.927933e-06
3.966667e-02,-3.779374e-02,1.954507e-06
4.000000e-02,-3.783689e-02,1.981211e-06
4.033333e-02,-3.786875e-02,2.008042e-06
4.066667e-02,-3.788890e-02,2.034997e-06
4.100000e-02,-3.789705e-02,2.062075e-06
4.133333e-02,-3.789299e-02,2.089270e-06
4.166667e-02,-3.787660e-02,2.116579e-06
4.200000e-02,-3.784789e-02,2.143997e-06
4.233333e-02,-3.780695e-02,2.171520e-06
4.266667e-02,-3.775399e-02,2.199142e-06
4.300000e-02,-3.768930e-02,2.226857e-06
4.333333e-02,-3.761330e-02,2.254660e-06
4.366667e-02,-3.752649e-02,2.282544e-06
4.400000e-02,-3.742946e-02,2.310504e-06
4.433333e-02,-3.732289e-02,2.338533e-06
4.466667e-02,-3.720755e-02,2.366625e-06
4.500000e-02,-3.708427e-02,2.394772e-06
4.533333e-02,-3.695396e-02,2.422969e-06
