time_s,CoM_cm,eta_boundary_cm
0.000000e+00,0.000000e+00,0.000000e+00
5.555556e-04,-2.519695e-04,8.002925e-10
1.111111e-03,-6.365137e-04,2.252472e-09
1.666667e-03,-1.134833e-03,4.402299e-09
2.222222e-03,-1.730289e-03,7.288540e-09
2.777778e-03,-2.408131e-03,1.094437e-08
3.333333e-03,-3.155239e-03,1.539898e-08
3.888889e-03,-3.959921e-03,2.067902e-08
4.444444e-03,-4.811748e-03,2.680988e-08
5.000000e-03,-5.701425e-03,3.381649e-08
5.555556e-03,-6.620679e-03,4.172353e-08
6.111111e-03,-7.562163e-03,5.055506e-08
6.666667e-03,-8.519368e-03,6.033377e-08
7.222222e-03,-9.486550e-03,7.107987e-08
7.777778e-03,-1.045866e-02,8.281011e-08
8.333333e-03,-1.143127e-02,9.553700e-08
8.888889e-03,-1.240053e-02,1.092683e-07
9.444444e-03,-1.336310e-02,1.240067e-07
1.000000e-02,-1.431612e-02,1.397503e-07
1.055556e-02,-1.525713e-02,1.564927e-07
1.111111e-02,-1.618407e-02,1.742234e-07
1.166667e-02,-1.709517e-02,1.929287e-07
1.222222e-02,-1.798901e-02,2.125921e-07
1.277778e-02,-1.886440e-02,2.331948e-07
1.333333e-02,-1.972038e-02,2.547166e-07
1.388889e-02,-2.055620e-02,2.771357e-07
1.444444e-02,-2.137128e-02,3.004300e-07
1.500000e-02,-2.216518e-02,3.245766e-07
1.555556e-02,-2.293760e-02,3.495526e-07
1.611111e-02,-2.368833e-02,3.753351e-07
1.666667e-02,-2.441725e-02,4.019015e-07
1.722222e-02,-2.512431e-02,4.292295e-07
1.777778e-02,-2.580950e-02,4.572974e-07
1.833333e-02,-2.647288e-02,4.860838e-07
1.888889e-02,-2.711452e-02,5.155682e-07
1.944444e-02,-2.773452e-02,5.457304e-07
2.000000e-02,-2.833297e-02,5.765509e-07
2.055556e-02,-2.891000e-02,6.080108e-07
2.111111e-02,-2.946572e-02,6.400919e-07
2.166667e-02,-3.000025e-02,6.727762e-07
2.222222e-02,-3.051369e-02,7.060467e-07
2.277778e-02,-3.100615e-02,7.398865e-07
2.333333e-02,-3.147773e-02,7.742791e-07
2.388889e-02,-3.192852e-02,8.092088e-07
2.444444e-02,-3.235860e-02,8.446599e-07
2.500000e-02,-3.276806e-02,8.806172e-07
2.555556e-02,-3.315698e-02,9.170656e-07
2.611111e-02,-3.352544e-02,9.539904e-07
2.666667e-02,-3.387354e-02,9.913771e-07
2.722222e-02,-3.420137e-02,1.029211e-06
2.777778e-02,-3.450905e-02,1.067479e-06
2.833333e-02,-3.479671e-02,1.106167e-06
2.888889e-02,-3.506449e-02,1.145260e-06
2.944444e-02,-3.531256e-02,1.184745e-06
3.000000e-02,-3.554113e-02,1.224608e-06
3.055556e-02,-3.575041e-02,1.264836e-06
3.111111e-02,-3.594068e-02,1.305416e-06
3.166667e-02,-3.611223e-02,1.346334e-06
3.222222e-02,-3.626540e-02,1.387577e-06
3.277778e-02,-3.640057e-02,1.429133e-06
3.333333e-02,-3.651814e-02,1.470988e-06
3.388889e-02,-3.661858e-02,1.513131e-06
3.444444e-02,-3.670239e-02,1.555548e-06
3.500000e-02,-3.677012e-02,1.598228e-06
3.555556e-02,-3.682234e-02,1.641160e-06
3.611111e-02,-3.685970e-02,1.684330e-06
3.666667e-02,-3.688284e-02,1.727730e-06
3.722222e-02,-3.689247e-02,1.771347e-06
3.777778e-02,-3.688934e-02,1.815171e-06
