time_s,CoM_cm,eta_boundary_cm
0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-03,-6.838138e-03,3.374484e-08
3.333333e-03,-1.239913e-02,7.939445e-08
5.000000e-03,-1.693551e-02,1.356911e-07
6.666667e-03,-2.059932e-02,2.016886e-07
8.333333e-03,-2.350963e-02,2.762191e-07
1.000000e-02,-2.576968e-02,3.578241e-07
1.166667e-02,-2.747232e-02,4.449092e-07
1.333333e-02,-2.870194e-02,5.359431e-07
1.500000e-02,-2.953520e-02,6.295974e-07
1.666667e-02,-3.004145e-02,7.248045e-07
1.833333e-02,-3.028307e-02,8.207560e-07
2.000000e-02,-3.031588e-02,9.168710e-07
2.166667e-02,-3.018954e-02,1.012756e-06
2.333333e-02,-2.994798e-02,1.108169e-06
2.500000e-02,-2.962991e-02,1.202988e-06
2.666667e-02,-2.926916e-02,1.297187e-06
2.833333e-02,-2.889517e-02,1.390823e-06
3.000000e-02,-2.853329e-02,1.484016e-06
3.166667e-02,-2.820512e-02,1.576942e-06
3.333333e-02,-2.792873e-02,1.669827e-06
3.500000e-02,-2.771892e-02,1.762932e-06
3.666667e-02,-2.758736e-02,1.856554e-06
3.833333e-02,-2.754274e-02,1.951017e-06
4.000000e-02,-2.759090e-02,2.046664e-06
4.166667e-02,-2.773492e-02,2.143853e-06
4.333333e-02,-2.797527e-02,2.242950e-06
4.500000e-02,-2.830990e-02,2.344319e-06
4.666667e-02,-2.873441e-02,2.448320e-06
4.833333e-02,-2.924221e-02,2.555298e-06
5.000000e-02,-2.982473e-02,2.665577e-06
5.166667e-02,-3.047168e-02,2.779454e-06
5.333333e-02,-3.117129e-02,2.897189e-06
5.500000e-02,-3.191062e-02,3.019005e-06
5.666667e-02,-3.267593e-02,3.145077e-06
5.833333e-02,-3.345297e-02,3.275531e-06
6.000000e-02,-3.422736e-02,3.410444e-06
6.166667e-02,-3.498491e-02,3.549833e-06
6.333333e-02,-3.571196e-02,3.693667e-06
6.500000e-02,-3.639567e-02,3.841857e-06
6.666667e-02,-3.702429e-02,3.994265e-06
6.833333e-02,-3.758736e-02,4.150704e-06
7.000000e-02,-3.807585e-02,4.310941e-06
7.166667e-02,-3.848231e-02,4.474706e-06
7.333333e-02,-3.880090e-02,4.641693e-06
7.500000e-02,-3.902736e-02,4.811566e-06
7.666667e-02,-3.915903e-02,4.983968e-06
7.833333e-02,-3.919469e-02,5.158522e-06
8.000000e-02,-3.913447e-02,5.334841e-06
8.166667e-02,-3.897974e-02,5.512530e-06
8.333333e-02,-3.873287e-02,5.691191e-06
8.500000e-02,-3.839713e-02,5.870429e-06
8.666667e-02,-3.797653e-02,6.049855e-06
8.833333e-02,-3.747562e-02,6.229089e-06
9.000000e-02,-3.689940e-02,6.407765e-06
9.166667e-02,-3.625321e-02,6.585531e-06
9.333333e-02,-3.554259e-02,6.762053e-06
9.500000e-02,-3.477327e-02,6.937014e-06
9.666667e-02,-3.395108e-02,7.110121e-06
9.833333e-02,-3.308197e-02,7.281100e-06
1.000000e-01,-3.217196e-02,7.449702e-06
1.016667e-01,-3.122721e-02,7.615702e-06
1.033333e-01,-3.025400e-02,7.778898e-06
1.050000e-01,-2.925879e-02,7.939117e-06
1.066667e-01,-2.824826e-02,8.096207e-06
1.083333e-01,-2.722936e-02,8.250048e-06
1.100000e-01,-2.620932e-02,8.400544e-06
1.116667e-01,-2.519571e-02,8.547628e-06
1.133333e-01,-2.419644e-02,8.691259e-06
1.150000e-01,-2.321981e-02,8.831428e-06
1.166667e-01,-2.227443e-02,8.968152e-06
1.183333e-01,-2.136925e-02,9.101479e-06
1.200000e-01,-2.051348e-02,9.231485e-06
1.216667e-01,-1.971653e-02,9.358274e-06
1.233333e-01,-1.898789e-02,9.481979e-06
1.250000e-01,-1.833704e-02,9.602759e-06
1.266667e-01,-1.777325e-02,9.720796e-06
1.283333e-01,-1.730548e-02,9.836292e-06
1.300000e-01,-1.694211e-02,9.949468e-06
1.316667e-01,-1.669082e-02,1.006055e-05
1.333333e-01,-1.655830e-02,1.016977e-05
1.350000e-01,-1.655008e-02,1.027736e-05
1.366667e-01,-1.667030e-02,1.038352e-05
1.383333e-01,-1.692151e-02,1.048843e-05
1.400000e-01,-1.730449e-02,1.059222e-05
1.416667e-01,-1.781808e-02,1.069499e-05
1.433333e-01,-1.845911e-02,1.079674e-05
1.450000e-01,-1.922227e-02,1.089739e-05
1.466667e-01,-2.010017e-02,1.099676e-05
1.483333e-01,-2.108333e-02,1.109457e-05
1.500000e-01,-2.216033e-02,1.119040e-05
1.516667e-01,-2.331794e-02,1.128371e-05
1.533333e-01,-2.454139e-02,1.137382e-05
1.550000e-01,-2.581460e-02,1.145989e-05
1.566667e-01,-2.712056e-02,1.154097e-05
1.583333e-01,-2.844165e-02,1.161597e-05
1.600000e-01,-2.976003e-02,1.168368e-05
1.616667e-01,-3.105801e-02,1.174280e-05
1.633333e-01,-3.231847e-02,1.179193e-05
1.650000e-01,-3.352517e-02,1.182961e-05
1.666667e-01,-3.466308e-02,1.185436e-05
1.683333e-01,-3.571866e-02,1.186466e-05
1.700000e-01,-3.668007e-02,1.185905e-05
1.716667e-01,-3.753733e-02,1.183608e-05
1.733333e-01,-3.828241e-02,1.179439e-05
1.750000e-01,-3.890927e-02,1.173270e-05
1.766667e-01,-3.941384e-02,1.164987e-05
1.783333e-01,-3.979390e-02,1.154489e-05
1.800000e-01,-4.004902e-02,1.141690e-05
1.816667e-01,-4.018034e-02,1.126522e-05
1.833333e-01,-4.019045e-02,1.108934e-05
1.850000e-01,-4.008314e-02,1.088895e-05
1.866667e-01,-3.986325e-02,1.066390e-05
1.883333e-01,-3.953644e-02,1.041426e-05
1.900000e-01,-3.910903e-02,1.014024e-05
1.916667e-01,-3.858784e-02,9.842244e-06
1.933333e-01,-3.798005e-02,9.520845e-06
1.950000e-01,-3.729307e-02,9.176749e-06
1.966667e-01,-3.653451e-02,8.810801e-06
1.983333e-01,-3.571205e-02,8.423962e-06
2.000000e-01,-3.483346e-02,8.017291e-06
2.016667e-01,-3.390654e-02,7.591926e-06
2.033333e-01,-3.293920e-02,7.149063e-06
2.050000e-01,-3.193938e-02,6.689932e-06
2.066667e-01,-3.091515e-02,6.215779e-06
2.083333e-01,-2.987473e-02,5.727840e-06
2.100000e-01,-2.882651e-02,5.227319e-06
2.116667e-01,-2.777907e-02,4.715366e-06
2.133333e-01,-2.674123e-02,4.193050e-06
2.150000e-01,-2.572206e-02,3.661337e-06
2.166667e-01,-2.473084e-02,3.121069e-06
2.183333e-01,-2.377707e-02,2.572938e-06
2.200000e-01,-2.287041e-02,2.017465e-06
2.216667e-01,-2.202061e-02,1.732944e-06
2.233333e-01,-2.123745e-02,1.561416e-06
2.250000e-01,-2.053057e-02,1.421150e-06
2.266667e-01,-1.990939e-02,1.301228e-06
2.283333e-01,-1.938288e-02,1.196096e-06
2.300000e-01,-1.895947e-02,1.466560e-06
2.316667e-01,-1.864675e-02,2.076900e-06
2.333333e-01,-1.845135e-02,2.698496e-06
2.350000e-01,-1.837867e-02,3.332945e-06
2.366667e-01,-1.843270e-02,3.982059e-06
2.383333e-01,-1.861581e-02,4.647844e-06
2.400000e-01,-1.892862e-02,5.332459e-06
2.416667e-01,-1.936976e-02,6.038180e-06
2.433333e-01,-1.993587e-02,6.767347e-06
2.450000e-01,-2.062145e-02,7.522311e-06
2.466667e-01,-2.141893e-02,8.305376e-06
