time_s,CoM_cm,eta_boundary_cm
0.000000e+00,0.000000e+00,0.000000e+00
2.083333e-04,-2.793957e-05,7.150948e-11
4.166667e-04,-8.186311e-05,2.211842e-10
6.250000e-04,-1.601158e-04,4.541905e-10
8.333333e-04,-2.612128e-04,7.748497e-10
1.041667e-03,-3.837845e-04,1.186906e-09
1.250000e-03,-5.265484e-04,1.693666e-09
1.458333e-03,-6.882922e-04,2.298084e-09
1.666667e-03,-8.678637e-04,3.002820e-09
1.875000e-03,-1.064163e-03,3.810280e-09
2.083333e-03,-1.276139e-03,4.722648e-09
2.291667e-03,-1.502783e-03,5.741910e-09
2.500000e-03,-1.743129e-03,6.869876e-09
2.708333e-03,-1.996252e-03,8.108196e-09
2.916667e-03,-2.261263e-03,9.458373e-09
3.125000e-03,-2.537312e-03,1.092178e-08
3.333333e-03,-2.823587e-03,1.249967e-08
3.541667e-03,-3.119310e-03,1.419320e-08
3.750000e-03,-3.423740e-03,1.600344e-08
3.958333e-03,-3.736171e-03,1.793139e-08
4.166667e-03,-4.055934e-03,1.997800e-08
4.375000e-03,-4.382393e-03,2.214422e-08
4.583333e-03,-4.714946e-03,2.443101e-08
4.791667e-03,-5.053028e-03,2.683934e-08
5.000000e-03,-5.396104e-03,2.937025e-08
5.208333e-03,-5.743676e-03,3.202484e-08
5.416667e-03,-6.095274e-03,3.480431e-08
5.625000e-03,-6.450465e-03,3.770994e-08
5.833333e-03,-6.808841e-03,4.074311e-08
6.041667e-03,-7.170029e-03,4.390529e-08
6.250000e-03,-7.533683e-03,4.719802e-08
6.458333e-03,-7.899483e-03,5.062291e-08
6.666667e-03,-8.267138e-03,5.418161e-08
6.875000e-03,-8.636382e-03,5.787579e-08
7.083333e-03,-9.006971e-03,6.170715e-08
7.291667e-03,-9.378683e-03,6.567734e-08
7.500000e-03,-9.751320e-03,6.978798e-08
7.708333e-03,-1.012470e-02,7.404065e-08
7.916667e-03,-1.049865e-02,7.843683e-08
8.125000e-03,-1.087304e-02,8.297794e-08
8.333333e-03,-1.124772e-02,8.766526e-08
8.541667e-03,-1.162256e-02,9.250000e-08
8.750000e-03,-1.199747e-02,9.748322e-08
8.958333e-03,-1.237232e-02,1.026159e-07
9.166667e-03,-1.274703e-02,1.078987e-07
9.375000e-03,-1.312150e-02,1.133325e-07
9.583333e-03,-1.349564e-02,1.189178e-07
9.791667e-03,-1.386937e-02,1.246549e-07
1.000000e-02,-1.424258e-02,1.305442e-07
1.020833e-02,-1.461521e-02,1.365857e-07
1.041667e-02,-1.498715e-02,1.427796e-07
1.062500e-02,-1.535832e-02,1.491256e-07
1.083333e-02,-1.572861e-02,1.556236e-07
1.104167e-02,-1.609792e-02,1.622732e-07
1.125000e-02,-1.646615e-02,1.690739e-07
1.145833e-02,-1.683318e-02,1.760251e-07
1.166667e-02,-1.719889e-02,1.831262e-07
