time_s,CoM_cm,eta_boundary_cm
0.000000e+00,0.000000e+00,0.000000e+00
1.851852e-04,-2.224870e-05,5.589723e-11
3.703704e-04,-6.531786e-05,1.726062e-10
5.555556e-04,-1.279962e-04,3.539508e-10
7.407407e-04,-2.091944e-04,6.031356e-10
9.259259e-04,-3.079044e-04,9.229420e-10
1.111111e-03,-4.231798e-04,1.315832e-09
1.296296e-03,-5.541228e-04,1.784010e-09
1.481481e-03,-6.998774e-04,2.329465e-09
1.666667e-03,-8.596234e-04,2.954001e-09
1.851852e-03,-1.032574e-03,3.659262e-09
2.037037e-03,-1.217972e-03,4.446748e-09
2.222222e-03,-1.415089e-03,5.317830e-09
2.407407e-03,-1.623225e-03,6.273766e-09
2.592593e-03,-1.841706e-03,7.315711e-09
2.777778e-03,-2.069884e-03,8.444724e-09
2.962963e-03,-2.307138e-03,9.661781e-09
3.148148e-03,-2.552870e-03,1.096778e-08
3.333333e-03,-2.806510e-03,1.236355e-08
3.518519e-03,-3.067512e-03,1.384987e-08
3.703704e-03,-3.335356e-03,1.542745e-08
3.888889e-03,-3.609546e-03,1.709699e-08
4.074074e-03,-3.889612e-03,1.885913e-08
4.259259e-03,-4.175110e-03,2.071454e-08
4.444444e-03,-4.465618e-03,2.266387e-08
4.629630e-03,-4.760740e-03,2.470779e-08
4.814815e-03,-5.060105e-03,2.684703e-08
5.000000e-03,-5.363362e-03,2.908235e-08
5.185185e-03,-5.670188e-03,3.141457e-08
5.370370e-03,-5.980279e-03,3.384460e-08
5.555556e-03,-6.293353e-03,3.637341e-08
5.740741e-03,-6.609150e-03,3.900204e-08
5.925926e-03,-6.927430e-03,4.173162e-08
6.111111e-03,-7.247971e-03,4.456334e-08
6.296296e-03,-7.570571e-03,4.749846e-08
6.481481e-03,-7.895042e-03,5.053827e-08
6.666667e-03,-8.221214e-03,5.368412e-08
6.851852e-03,-8.548931e-03,5.693736e-08
7.037037e-03,-8.878050e-03,6.029936e-08
7.222222e-03,-9.208440e-03,6.377147e-08
7.407407e-03,-9.539979e-03,6.735505e-08
7.592593e-03,-9.872558e-03,7.105139e-08
7.777778e-03,-1.020607e-02,7.486176e-08
7.962963e-03,-1.054042e-02,7.878735e-08
8.148148e-03,-1.087552e-02,8.282928e-08
8.333333e-03,-1.121127e-02,8.698863e-08
8.518519e-03,-1.154760e-02,9.126635e-08
8.703704e-03,-1.188442e-02,9.566332e-08
8.888889e-03,-1.222163e-02,1.001803e-07
9.074074e-03,-1.255917e-02,1.048180e-07
9.259259e-03,-1.289694e-02,1.095770e-07
9.444444e-03,-1.323485e-02,1.144578e-07
9.629630e-03,-1.357281e-02,1.194607e-07
9.814815e-03,-1.391073e-02,1.245859e-07
1.000000e-02,-1.424850e-02,1.298337e-07
1.018519e-02,-1.458601e-02,1.352041e-07
1.037037e-02,-1.492316e-02,1.406970e-07
1.055556e-02,-1.525982e-02,1.463123e-07
1.074074e-02,-1.559588e-02,1.520496e-07
1.092593e-02,-1.593120e-02,1.579087e-07
1.111111e-02,-1.626565e-02,1.638891e-07
1.129630e-02,-1.659908e-02,1.699902e-07
1.148148e-02,-1.693137e-02,1.762115e-07
1.166667e-02,-1.726235e-02,1.825521e-07
1.185185e-02,-1.759187e-02,1.890113e-07
1.203704e-02,-1.791978e-02,1.955883e-07
1.222222e-02,-1.824592e-02,2.022821e-07
1.240741e-02,-1.857013e-02,2.090916e-07
1.259259e-02,-1.889225e-02,2.160159e-07
1.277778e-02,-1.921212e-02,2.230537e-07
1.296296e-02,-1.952958e-02,2.302040e-07
1.314815e-02,-1.984447e-02,2.374654e-07
1.333333e-02,-2.015665e-02,2.448368e-07
1.351852e-02,-2.046596e-02,2.523169e-07
1.370370e-02,-2.077225e-02,2.599042e-07
1.388889e-02,-2.107540e-02,2.675976e-07
1.407407e-02,-2.137527e-02,2.753955e-07
1.425926e-02,-2.167174e-02,2.832966e-07
1.444444e-02,-2.196470e-02,2.912996e-07
1.462963e-02,-2.225404e-02,2.994030e-07
1.481481e-02,-2.253966e-02,3.076055e-07
1.500000e-02,-2.282150e-02,3.159056e-07
1.518519e-02,-2.309948e-02,3.243020e-07
1.537037e-02,-2.337353e-02,3.327933e-07
1.555556e-02,-2.364362e-02,3.413783e-07
1.574074e-02,-2.390971e-02,3.500555e-07
1.592593e-02,-2.417178e-02,3.588237e-07
1.611111e-02,-2.442982e-02,3.676816e-07
1.629630e-02,-2.468384e-02,3.766280e-07
1.648148e-02,-2.493385e-02,3.856618e-07
1.666667e-02,-2.517987e-02,3.947816e-07
1.685185e-02,-2.542196e-02,4.039865e-07
1.703704e-02,-2.566016e-02,4.132753e-07
1.722222e-02,-2.589453e-02,4.226470e-07
1.740741e-02,-2.612513e-02,4.321006e-07
1.759259e-02,-2.635206e-02,4.416350e-07
1.777778e-02,-2.657539e-02,4.512495e-07
1.796296e-02,-2.679521e-02,4.609430e-07
1.814815e-02,-2.701163e-02,4.707147e-07
1.833333e-02,-2.722474e-02,4.805638e-07
1.851852e-02,-2.743466e-02,4.904895e-07
1.870370e-02,-2.764148e-02,5.004911e-07
1.888889e-02,-2.784533e-02,5.105677e-07
1.907407e-02,-2.804629e-02,5.207187e-07
1.925926e-02,-2.824449e-02,5.309434e-07
1.944444e-02,-2.844003e-02,5.412411e-07
1.962963e-02,-2.863301e-02,5.516112e-07
1.981481e-02,-2.882352e-02,5.620530e-07
2.000000e-02,-2.901166e-02,5.725658e-07
2.018519e-02,-2.919750e-02,5.831492e-07
2.037037e-02,-2.938114e-02,5.938023e-07
2.055556e-02,-2.956263e-02,6.045246e-07
