time_s,CoM_cm,eta_boundary_cm
0.000000e+00,0.000000e+00,0.000000e+00
2.083333e-04,-3.191011e-05,8.167181e-11
4.166667e-04,-9.343454e-05,2.524577e-10
6.250000e-04,-1.825846e-04,5.179794e-10
8.333333e-04,-2.975325e-04,8.827709e-10
1.041667e-03,-4.365522e-04,1.350582e-09
1.250000e-03,-5.979912e-04,1.924539e-09
1.458333e-03,-7.802550e-04,2.607244e-09
1.666667e-03,-9.817988e-04,3.400844e-09
1.875000e-03,-1.201124e-03,4.307082e-09
2.083333e-03,-1.436776e-03,5.327346e-09
2.291667e-03,-1.687344e-03,6.462698e-09
2.500000e-03,-1.951465e-03,7.713912e-09
2.708333e-03,-2.227821e-03,9.081501e-09
2.916667e-03,-2.515146e-03,1.056575e-08
3.125000e-03,-2.812226e-03,1.216674e-08
3.333333e-03,-3.117905e-03,1.388438e-08
3.541667e-03,-3.431084e-03,1.571844e-08
3.750000e-03,-3.750727e-03,1.766859e-08
3.958333e-03,-4.075861e-03,1.973441e-08
4.166667e-03,-4.405581e-03,2.191547e-08
4.375000e-03,-4.739052e-03,2.421136e-08
4.583333e-03,-5.075508e-03,2.662170e-08
4.791667e-03,-5.414255e-03,2.914623e-08
5.000000e-03,-5.754672e-03,3.178483e-08
5.208333e-03,-6.096210e-03,3.453753e-08
5.416667e-03,-6.438396e-03,3.740459e-08
5.625000e-03,-6.780824e-03,4.038644e-08
5.833333e-03,-7.123162e-03,4.348376e-08
6.041667e-03,-7.465146e-03,4.669747e-08
6.250000e-03,-7.806577e-03,5.002867e-08
6.458333e-03,-8.147322e-03,5.347870e-08
6.666667e-03,-8.487306e-03,5.704908e-08
6.875000e-03,-8.826511e-03,6.074149e-08
7.083333e-03,-9.164971e-03,6.455776e-08
7.291667e-03,-9.502767e-03,6.849983e-08
7.500000e-03,-9.840023e-03,7.256975e-08
7.708333e-03,-1.017690e-02,7.676961e-08
7.916667e-03,-1.051359e-02,8.110156e-08
8.125000e-03,-1.085031e-02,8.556776e-08
8.333333e-03,-1.118730e-02,9.017035e-08
8.541667e-03,-1.152481e-02,9.491146e-08
8.750000e-03,-1.186310e-02,9.979318e-08
8.958333e-03,-1.220244e-02,1.048175e-07
9.166667e-03,-1.254308e-02,1.099864e-07
9.375000e-03,-1.288528e-02,1.153017e-07
9.583333e-03,-1.322926e-02,1.207652e-07
9.791667e-03,-1.357524e-02,1.263784e-07
1.000000e-02,-1.392342e-02,1.321429e-07
1.020833e-02,-1.427395e-02,1.380599e-07
1.041667e-02,-1.462697e-02,1.441308e-07
1.062500e-02,-1.498256e-02,1.503565e-07
1.083333e-02,-1.534078e-02,1.567379e-07
1.104167e-02,-1.570164e-02,1.632757e-07
1.125000e-02,-1.606511e-02,1.699704e-07
1.145833e-02,-1.643110e-02,1.768223e-07
1.166667e-02,-1.679949e-02,1.838315e-07
1.187500e-02,-1.717012e-02,1.909980e-07
1.208333e-02,-1.754275e-02,1.983215e-07
1.229167e-02,-1.791714e-02,2.058015e-07
1.250000e-02,-1.829297e-02,2.134374e-07
1.270833e-02,-1.866989e-02,2.212281e-07
1.291667e-02,-1.904752e-02,2.291727e-07
1.312500e-02,-1.942543e-02,2.372699e-07
1.333333e-02,-1.980318e-02,2.455181e-07
1.354167e-02,-2.018027e-02,2.539158e-07
1.375000e-02,-2.055620e-02,2.624611e-07
1.395833e-02,-2.093044e-02,2.711519e-07
1.416667e-02,-2.130245e-02,2.799861e-07
1.437500e-02,-2.167168e-02,2.889613e-07
1.458333e-02,-2.203758e-02,2.980751e-07
1.479167e-02,-2.239958e-02,3.073249e-07
1.500000e-02,-2.275716e-02,3.167081e-07
1.520833e-02,-2.310976e-02,3.262217e-07
1.541667e-02,-2.345688e-02,3.358629e-07
1.562500e-02,-2.379802e-02,3.456289e-07
