frequency_Hz,value,error_lower,error_upper,gamma,marker_face_color
28.0,0.9018487423991782,0.004402971575987957,0.004402971575987957,0.2,[0.35 0.75 0.35]
30.0,0.8767260265230772,0.0035096248909723396,0.0035096248909723396,0.2,[0.35 0.75 0.35]
35.0,0.8288554028842268,0.004375300245904409,0.004375300245904409,0.2,[0.35 0.75 0.35]
40.0,0.7317338137784111,0.002182876969886847,0.002182876969886847,0.2,[0.35 0.75 0.35]
45.0,0.7596629424433212,0.002823033996905586,0.002823033996905586,0.2,[0.35 0.75 0.35]
50.0,0.728753429608932,0.00205327840322894,0.00205327840322894,0.2,[0.35 0.75 0.35]
60.0,0.6833993783020317,0.0025017618871934983,0.0025017618871934983,0.2,[0.35 0.75 0.35]
70.0,0.6463465005091859,0.005323273798818102,0.005323273798818102,0.2,[0.35 0.75 0.35]
80.0,0.6416631649295873,0.002258401824556349,0.002258401824556349,0.2,[0.35 0.75 0.35]
90.0,0.6268334134840203,0.005700724433137751,0.005700724433137751,0.2,[0.35 0.75 0.35]
100.0,0.602296232552657,0.0025011887039979113,0.0025011887039979113,0.2,[0.35 0.75 0.35]
10.0,1.122603109276071,0.006207399367185067,0.006207399367185067,0.5,[0.1 0.5 0.1]
12.0,1.1137507644009292,0.0017975240235455284,0.0017975240235455284,0.5,[0.1 0.5 0.1]
14.0,1.1271970657023047,0.0032658183874237643,0.0032658183874237643,0.5,[0.1 0.5 0.1]
16.0,1.1033472922890308,0.004485782143171388,0.004485782143171388,0.5,[0.1 0.5 0.1]
18.0,1.0749035373921032,0.004003279459885375,0.004003279459885375,0.5,[0.1 0.5 0.1]
20.0,1.0517953487300145,0.00252298990034555,0.00252298990034555,0.5,[0.1 0.5 0.1]
22.0,0.9926518117737524,0.0026412041059076714,0.0026412041059076714,0.5,[0.1 0.5 0.1]
25.0,0.9515820304237151,0.0035807754560068694,0.0035807754560068694,0.5,[0.1 0.5 0.1]
28.0,0.9029983690051522,0.0025210423066549456,0.0025210423066549456,0.5,[0.1 0.5 0.1]
30.0,0.8804696576610282,0.00233097432552191,0.00233097432552191,0.5,[0.1 0.5 0.1]
35.0,0.8322324263388138,0.004700894398386425,0.004700894398386425,0.5,[0.1 0.5 0.1]
40.0,0.7537642292931365,0.004824507425083051,0.004824507425083051,0.5,[0.1 0.5 0.1]
45.0,0.7677939883012884,0.0033862133881224017,0.0033862133881224017,0.5,[0.1 0.5 0.1]
50.0,0.731962650721945,0.001974244878800028,0.001974244878800028,0.5,[0.1 0.5 0.1]
60.0,0.6855970835456959,0.0044317709021381956,0.0044317709021381956,0.5,[0.1 0.5 0.1]
70.0,0.6630730902091336,0.003558940628679365,0.003558940628679365,0.5,[0.1 0.5 0.1]
80.0,0.642132513864505,0.0016461006769492147,0.0016461006769492147,0.5,[0.1 0.5 0.1]
90.0,0.6225943580725206,0.0030823011600059867,0.0030823011600059867,0.5,[0.1 0.5 0.1]
100.0,0.623047430250323,0.0017397647907096622,0.0017397647907096622,0.5,[0.1 0.5 0.1]
